first_block_height_in_kth_adjustment_list,last_block_height_in_kth_adjustment,total_t,avg_t_min,avg_t_sec,block_difficulty,estimated_hash_rate
350784,352799,20938.85000000002,10.386334325396836,623.1800595238102,49446390688.24144,3.40785343923736e+17
352800,354815,20151.43333333327,9.995750661375629,599.7450396825377,47610564513.47126,3.4095457902861094e+17
354816,356831,19690.31666666666,9.767022156084652,586.021329365079,47643398017.80344,3.491798439802159e+17
356832,358847,20681.616666666683,10.258738425925934,615.524305555556,48807487244.68138,3.405658551966364e+17
358848,360863,19310.183333333312,9.578463955026445,574.7078373015867,47589591153.62501,3.556515578324549e+17
360864,362879,20281.21666666666,10.060127314814812,603.6076388888887,49692386354.89384,3.535859397792563e+17
362880,364895,19512.016666666666,9.678579695767196,580.7147817460318,49402014931.22746,3.653773679536194e+17
364896,366911,19714.700000000008,9.779117063492068,586.7470238095241,51076366303.48193,3.738771804033656e+17
366912,368927,20002.233333333337,9.921742724867727,595.3045634920636,52278304845.59168,3.7717434632957926e+17
368928,370943,19593.549999999967,9.719022817460301,583.141369047618,52699842409.34701,3.881461883285055e+17
370944,372959,19216.649999999987,9.532068452380946,571.9241071428568,54256630327.88996,4.074499569769703e+17
372960,374975,19363.566666666637,9.604943783068768,576.2966269841261,56957648455.01001,4.244884073875921e+17
374976,376991,19682.88333333338,9.76333498677251,585.8000992063505,59335351233.86657,4.3503473862738374e+17
376992,379007,20149.649999999972,9.994866071428557,599.6919642857134,60813224039.44035,4.355416179785215e+17
379008,381023,19719.016666666666,9.781258267195767,586.875496031746,60883825480.09828,4.4556987139611046e+17
381024,383039,19075.866666666643,9.462235449735438,567.7341269841263,62253982449.76082,4.7095780570357805e+17
383040,385055,18261.116666666672,9.058093584656087,543.4856150793652,65848255179.70261,5.2037458701493997e+17
385056,387071,18542.683333333367,9.197759589947106,551.8655753968263,72722780642.54718,5.6597472003816934e+17
387072,389087,17067.416666666682,8.465980489417998,507.95882936507985,79102380900.22598,6.688379438681366e+17
389088,391103,18147.783333333333,9.001876653439153,540.1125992063492,93448670796.3238,7.43102429964872e+17
391104,393119,18494.10000000004,9.173660714285733,550.4196428571439,103880340815.4559,8.105863812994666e+17
393120,395135,19040.100000000064,9.444494047619079,566.6696428571447,113354299801.4711,8.591478591540353e+17
395136,397151,16812.316666666637,8.339442791005276,500.36656746031656,120033340651.237,1.030323179151207e+18
397152,399167,17773.333333333325,8.816137566137561,528.9682539682536,144116447847.3487,1.1701561023304822e+18
399168,401183,20815.199999999997,10.325,619.5,163491654908.9593,1.1334807280111348e+18
401184,403199,19306.01666666663,9.576397156084639,574.5838293650784,158427203767.3917,1.1842304363656888e+18
403200,405215,19999.40000000003,9.920337301587317,595.220238095239,165496835118.2263,1.194185696203685e+18
405216,407231,18836.04999999998,9.34327876984126,560.5967261904757,166851513282.7772,1.2783196179318193e+18
407232,409247,20167.666666666682,10.003802910052919,600.2281746031751,178678307671.6884,1.2785429282153994e+18
409248,411263,18542.150000000038,9.197495039682558,551.8497023809534,178659257772.5273,1.3904794474835663e+18
411264,413279,19652.899999999976,9.74846230158729,584.9077380952374,194254820283.444,1.4264097495525043e+18
413280,415295,20494.099999999984,10.165724206349198,609.9434523809518,199312067531.243,1.403472417653197e+18
415296,417311,18876.00000000003,9.363095238095253,561.7857142857152,196061423939.65,1.498929898740218e+18
417312,419327,19793.233333333308,9.818072089947078,589.0843253968247,209453158595.381,1.527106438632651e+18
419328,421343,20160.949999999986,10.000471230158723,600.0282738095234,213398925331.3239,1.527497028565915e+18
421344,423359,21333.750000000025,10.582217261904775,634.9330357142865,213492501107.5134,1.4441575073605545e+18
423360,425375,18733.933333333327,9.292625661375657,557.5575396825394,201893210853.059,1.5552201812068431e+18
425376,427391,19855.666666666722,9.849041005291033,590.942460317462,217375482757.2376,1.579884087010763e+18
427392,429407,19727.28333333336,9.78535879629631,587.1215277777785,220755908330.3723,1.6148946373442934e+18
429408,431423,18874.766666666656,9.36248346560846,561.7490079365076,225832872179.4596,1.7266515590930184e+18
431424,433439,18815.650000000034,9.33315972222224,559.9895833333344,241227200229.991,1.8501468004570675e+18
433440,435455,20555.149999999976,10.196006944444433,611.760416666666,258522748404.5154,1.815002604646178e+18
435456,437471,20120.266666666615,9.98029100529098,598.8174603174588,253618246641.4895,1.8190553001186442e+18
437472,439487,18218.799999999977,9.037103174603164,542.2261904761898,254620187304.0614,2.0168435176691443e+18
439488,441503,19818.76666666665,9.830737433862424,589.8442460317455,281800917193.1958,2.051941222568848e+18
441504,443519,18644.983333333363,9.248503637566152,554.9102182539691,286765766820.5504,2.2195475044269765e+18
443520,445535,19684.23333333339,9.764004629629659,585.8402777777795,310153855703.4333,2.2738290921674053e+18
445536,447551,19020.86666666669,9.434953703703716,566.097222222223,317688400354.0338,2.410294974568003e+18
447552,449567,17293.400000000045,8.578075396825419,514.6845238095251,336899932795.8077,2.8113808098844047e+18
449568,451583,18773.449999999986,9.312227182539676,558.7336309523805,392963262344.3704,3.020695850045195e+18
451584,453599,19309.61666666664,9.578182870370357,574.6909722222214,422170566883.8369,3.1551022475410125e+18
453600,455615,19296.099999999973,9.571478174603161,574.2886904761897,440779902286.5892,3.296487109097034e+18
455616,457631,19527.983333333374,9.68649966931219,581.1899801587314,460769358090.7142,3.405064422235978e+18
457632,459647,19198.916666666664,9.523272156084655,571.3963293650793,475705205061.6292,3.5756937755392184e+18
459648,461663,19348.899999999965,9.597668650793633,575.860119047618,499635929816.6675,3.726460484914552e+18
461664,463679,20115.166666666664,9.977761243386242,598.6656746031745,520808749422.1398,3.7364035406263265e+18
463680,465695,18797.316666666684,9.324065806878316,559.443948412699,521974519553.6282,4.0073067144419876e+18
465696,467711,18952.416666666653,9.401000330687824,564.0600198412694,559970892890.8381,4.263831129805777e+18
467712,469727,17705.0166666667,8.782250330687846,526.9350198412708,595921917085.416,4.857269015110204e+18
469728,471743,19232.53333333334,9.539947089947093,572.3968253968255,678760110082.9902,5.093061920136867e+18
471744,473759,20263.3,10.05124007936508,603.0744047619048,711697198173.7566,5.068555665229921e+18
473760,475775,17759.71666666669,8.809383267195779,528.5629960317467,708659466230.332,5.758385006727339e+18
475776,477791,18855.433333333327,9.352893518518515,561.1736111111109,804525194568.1318,6.157469508654428e+18
477792,479807,18787.600000000028,9.319246031746045,559.1547619047627,860221984436.2223,6.607518243908076e+18
479808,481823,20984.66666666668,10.409060846560852,624.5436507936511,923233068448.9052,6.349045147660777e+18
481824,483839,19409.93333333332,9.627943121693114,577.6765873015869,888171856257.3206,6.603468376088583e+18
483840,485855,16859.500000000004,8.362847222222223,501.77083333333337,922724699725.9628,7.898172124129236e+18
485856,487871,19801.983333333286,9.822412367724844,589.3447420634907,1103400932964.292,8.04125426633055e+18
487872,489887,18935.09999999998,9.392410714285704,563.5446428571422,1123863285132.967,8.565348133466053e+18
489888,491903,16612.716666666707,8.240434854497375,494.42609126984246,1196792694098.793,1.0396266645322918e+19
491904,493919,21467.26666666669,10.648445767195778,638.9067460317467,1452839779145.919,9.766525986015384e+18
493920,495935,20455.349999999962,10.146502976190458,608.7901785714275,1364422081125.147,9.625891518361956e+18
495936,497951,17088.000000000022,8.476190476190487,508.57142857142924,1347001430558.57,1.137564315825839e+19
497952,499967,17123.599999999988,8.4938492063492,509.630952380952,1590896927258.079,1.3407447569575301e+19
499968,501983,19563.36666666667,9.704050925925927,582.2430555555557,1873105475221.611,1.3817127883748092e+19
501984,503999,17481.533333333336,8.671395502645504,520.2837301587302,1931136454487.716,1.5941624608572164e+19
504000,506015,17255.333333333285,8.559193121693097,513.5515873015859,2227847638503.628,1.8632077057966023e+19
506016,508031,18257.09999999996,9.05610119047617,543.3660714285702,2603077300218.593,2.057569005735859e+19
508032,510047,19274.866666666658,9.560945767195763,573.6567460317458,2874674234415.941,2.1522682176890237e+19
510048,512063,18427.316666666662,9.140534060846559,548.4320436507935,3007383866429.732,2.3551897636853264e+19
512064,514079,19214.41666666668,9.530960648148154,571.8576388888893,3290605988755.001,2.4714271777823527e+19
514080,516095,19881.483333333294,9.861846891534372,591.7108134920622,3462542391191.563,2.5133064990675386e+19
516096,518111,18440.583333333343,9.147114748677254,548.8268849206352,3511060552899.72,2.747658808872064e+19
518112,520127,19250.599999999984,9.548908730158722,572.9345238095233,3839316899029.672,2.878119546832322e+19
520128,522143,19578.66666666663,9.711640211640194,582.6984126984116,4022059196164.954,2.9645889423497335e+19
522144,524159,19419.38333333331,9.63263062169311,577.9578373015866,4143878474754.188,3.0794326815885783e+19
524160,526175,17583.966666666645,8.722205687830677,523.3323412698406,4306949573981.513,3.534696044369573e+19
526176,528191,19620.049999999992,9.732167658730155,583.9300595238093,4940704885521.827,3.6340252666232943e+19
528192,530207,19090.15000000002,9.469320436507946,568.1592261904767,5077499034879.017,3.8383064632247755e+19
530208,532223,20889.449999999986,10.36183035714285,621.709821428571,5363678461481.357,3.705398046533636e+19
532224,534239,17564.466666666638,8.712533068783054,522.7519841269833,5178671069072.251,4.254832799066669e+19
534240,536255,18772.550000000047,9.311780753968277,558.7068452380967,5949437371609.53,4.573532463124504e+19
536256,538271,19176.7666666667,9.51228505291007,570.7371031746042,6389316883511.965,4.808151932969618e+19
538272,540287,19323.583333333307,9.585110780423268,575.1066468253961,6727225469722.534,5.023974865317211e+19
540288,542303,19806.633333333324,9.824718915343912,589.4831349206347,7019199231177.173,5.114180433011571e+19
542304,544319,19359.499999999975,9.602926587301575,576.1755952380945,7152633351906.413,5.331764583680825e+19
544320,546335,20935.050000000003,10.384449404761906,623.0669642857143,7454968648263.241,5.138909358435083e+19
546336,548351,20160.31666666668,10.000157076719583,600.009424603175,7182852313938.317,5.141605200746e+19
548352,550367,21790.116666666636,10.8085896164021,648.5153769841261,7184404942701.792,4.75806516934451e+19
550368,552383,23762.900000000034,11.787152777777795,707.2291666666677,6653303141405.96,4.040517663800059e+19
552384,554399,22304.850000000006,11.063913690476193,663.8348214285716,5646403851534.721,3.6531858678581654e+19
554400,556415,18323.73333333328,9.089153439153412,545.3492063492047,5106422924659.822,4.021628564893316e+19
556416,558431,19275.816666666666,9.561416997354497,573.6850198412699,5618595848853.279,4.206434643690552e+19
558432,560447,20409.41666666664,10.123718584656071,607.4231150793643,5883988430955.408,4.1604504757271085e+19
560448,562463,19353.93333333329,9.600165343915323,576.0099206349194,5814661935891.805,4.335651515241866e+19
562464,564479,20131.200000000026,9.985714285714298,599.1428571428579,6061518831027.271,4.345211635752306e+19
564480,566495,20178.383333333375,10.009118716931237,600.5471230158743,6071846049920.752,4.342436956452971e+19
566496,568511,19180.43333333331,9.514103835978824,570.8462301587294,6068891541676.553,4.566149221520477e+19
568512,570527,20117.283333333322,9.978811177248671,598.7286706349203,6379265451411.053,4.576152409280523e+19
570528,572543,20289.13333333334,10.064054232804235,603.8432539682541,6393023717201.863,4.54717803130047e+19
572544,574559,19113.63333333331,9.480968915343903,568.8581349206341,6353030562983.983,4.796636775232469e+19
574560,576575,20160.549999999985,10.00027281746031,600.0163690476186,6702169884349.173,4.797469194249817e+19
576576,578591,18126.249999999985,8.99119543650793,539.4717261904758,6704632680587.417,5.337847508369412e+19
578592,580607,20308.816666666655,10.073817791005284,604.429067460317,7459680720542.296,5.300718720883548e+19
580608,582623,18829.266666666637,9.339914021164006,560.3948412698403,7409399249090.253,5.678697431571498e+19
582624,584639,17658.300000000054,8.759077380952407,525.5446428571444,7934713219630.606,6.484574478045988e+19
584640,586655,20283.016666666685,10.061020171957681,603.6612103174608,9064159826491.41,6.4490262675689415e+19
586656,588671,18210.28333333332,9.03287863756613,541.9727182539677,9013786945891.682,7.143149247518986e+19
588672,590687,19779.133333333368,9.81107804232806,588.6646825396836,9985348008059.557,7.2854282592201245e+19
590688,592703,19088.416666666668,9.468460648148149,568.1076388888889,10183488432890.0,7.698849088528296e+19
592704,594719,18270.183333333345,9.062590939153445,543.7554563492067,10771996663680.4,8.508489035449093e+19
594720,596735,18794.7,9.322767857142857,559.3660714285714,11890594958795.76,9.129927445828582e+19
596736,598751,19795.4,9.819146825396826,589.1488095238096,12759819404408.79,9.302065311665059e+19
598752,600767,19154.08333333333,9.501033399470897,570.0620039682539,13008091666971.9,9.800570447443072e+19
600768,602783,21719.916666666668,10.773768187830688,646.4260912698413,13691480038694.45,9.096857288744924e+19
602784,604799,19774.516666666677,9.808788029100535,588.5272817460321,12720005267390.51,9.282833323598648e+19
